x_i,n,sum_1,sum_2
-20.0,34,-0.160341351208451,-0.160341349430382
-19.8,33,-0.173713817071888,-0.173713818192482
-19.6,33,-0.180332215968844,-0.180332215502858
-19.4,33,-0.179867284548161,-0.179867284372449
-19.2,33,-0.172265928302243,-0.172265928238630
-19.0,32,-0.157755906332093,-0.157755906693637
-18.8,32,-0.136839570080712,-0.136839569546282
-18.6,32,-0.110276768321778,-0.110276767984033
-18.4,31,-0.079057492663902,-0.079057492781430
-18.2,31,-0.044365251869255,-0.044365252135321
-18.0,31,-0.007532514630976,-0.007532514631748
-17.8,31,0.030010101247538,0.030010100803338
-17.6,30,0.066788967207374,0.066788967465982
-17.4,30,0.101344801357857,0.101344801136293
-17.2,30,0.132290018040065,0.132290017907508
-17.0,29,0.158363842012293,0.158363841939718
-16.8,29,0.178483006502150,0.178483006486204
-16.6,29,0.191786035323608,0.191786035313271
-16.4,29,0.197669302181989,0.197669302113354
-16.2,28,0.195813403081568,0.195813403173815
-16.0,28,0.186198720643290,0.186198720650282
-15.8,28,0.169109460704308,0.169109460708569
-15.6,28,0.145125911050443,0.145125911076320
-15.4,27,0.115105094729477,0.115105094751925
-15.2,27,0.080150459666829,0.080150459674769
-15.0,27,0.041571678064444,0.041571678055334
-14.8,26,0.000836004646022,0.000836004641315
-14.6,26,-0.040486993095412,-0.040486993086233
-14.4,26,-0.080785276751011,-0.080785276753886
-14.2,26,-0.118466464413448,-0.118466464409721
-14.0,25,-0.152019882092467,-0.152019882094464
-13.8,25,-0.180076139813870,-0.180076139808079
-13.6,25,-0.201461902841755,-0.201461902841402
-13.4,25,-0.215247713029513,-0.215247713033023
-13.2,24,-0.220786938187235,-0.220786938189121
-13.0,24,-0.217744264408908,-0.217744264413341
-12.8,24,-0.206112535994273,-0.206112535994180
-12.6,23,-0.186217166978324,-0.186217166977258
-12.4,23,-0.158707840276406,-0.158707840273564
-12.2,23,-0.124537667595785,-0.124537667595177
-12.0,23,-0.084930494825937,-0.084930494825585
-11.8,22,-0.041337467639245,-0.041337467639096
-11.6,22,0.004615592085796,0.004615592085429
-11.4,22,0.051188081498603,0.051188081498822
-11.2,21,0.096589589978416,0.096589589978294
-11.0,21,0.139047519048650,0.139047519048972
-10.8,21,0.176874824954646,0.176874824954439
-10.6,21,0.208535300016091,0.208535300016479
-10.4,20,0.232703911488209,0.232703911487988
-10.2,20,0.248319865104782,0.248319865104577
-10.0,20,0.254630313606111,0.254630313606299
-9.8,20,0.251222984915417,0.251222984915387
-9.6,19,0.238046387753109,0.238046387753002
-9.4,19,0.215416722657514,0.215416722657551
-9.2,19,0.184011121892937,0.184011121892922
-9.0,18,0.144847341126986,0.144847341126990
-8.8,18,0.099250553739822,0.099250553739836
-8.6,18,0.048808367845609,0.048808367845623
-8.4,18,-0.004684340668356,-0.004684340668362
-8.2,17,-0.059288814299134,-0.059288814299151
-8.0,17,-0.112991720319601,-0.112991720319613
-7.8,17,-0.163777840330862,-0.163777840330837
-7.6,16,-0.209703474114315,-0.209703474114292
-7.4,16,-0.248967828792093,-0.248967828792090
-7.2,16,-0.279979741398091,-0.279979741398080
-7.0,16,-0.301417220108593,-0.301417220108597
-6.8,15,-0.312277562718119,-0.312277562718123
-6.6,15,-0.311916137864489,-0.311916137864490
-6.4,15,-0.300072326363124,-0.300072326363132
-6.2,14,-0.276881599715005,-0.276881599715008
-6.0,14,-0.242873210069202,-0.242873210069199
-5.8,14,-0.198953513926035,-0.198953513926035
-5.6,14,-0.146375469088580,-0.146375469088579
-5.4,13,-0.086695376679144,-0.086695376679144
-5.2,13,-0.021718408571686,-0.021718408571686
-5.0,13,0.046565116294330,0.046565116294333
-4.8,12,0.116050386237696,0.116050386237696
-4.6,12,0.184593105168200,0.184593105168201
-4.4,12,0.250086098201977,0.250086098201977
-4.2,11,0.310534701186309,0.310534701186310
-4.0,11,0.364128145917995,0.364128145917995
-3.8,11,0.409304306475084,0.409304306475084
-3.6,10,0.444805398567274,0.444805398567274
-3.4,10,0.469722568273127,0.469722568273127
-3.2,10,0.483527700127448,0.483527700127447
-3.0,10,0.486091260581654,0.486091260581654
-2.8,9,0.477685495458568,0.477685495458568
-2.6,9,0.458972851731190,0.458972851731190
-2.4,9,0.430980040190314,0.430980040190314
-2.2,8,0.395058687421253,0.395058687421253
-2.0,8,0.352834028608872,0.352834028608872
-1.8,7,0.306143535425704,0.306143535425704
-1.6,7,0.256967751452987,0.256967751452987
-1.4,7,0.207355899528738,0.207355899528738
-1.2,6,0.159349018320823,0.159349018320823
-1.0,6,0.114903484929806,0.114903484929806
-0.8,5,0.075817762512592,0.075817762512592
-0.6,5,0.043665096716718,0.043665096716718
-0.4,4,0.019734663111111,0.019734663111111
-0.2,4,0.004983354152778,0.004983354152778
0.0,1,0.000000000000000,0.000000000000000
